
2024/05/09 (11:47:58) | ===> btop++ v.1.3.2
2024/05/09 (11:47:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/09 (11:48:03) | ===> btop++ v.1.3.2
2024/05/09 (11:48:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/10 (12:48:17) | ===> btop++ v.1.3.2
2024/05/10 (12:48:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/17 (23:25:31) | ===> btop++ v.1.3.2
2024/05/17 (23:25:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/17 (23:25:48) | ===> btop++ v.1.3.2
2024/05/17 (23:25:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (17:47:21) | ===> btop++ v.1.3.2
2024/05/24 (17:47:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (21:59:22) | ===> btop++ v.1.3.2
2024/05/24 (21:59:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (19:07:31) | ===> btop++ v.1.3.2
2024/05/25 (19:07:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (19:09:14) | ===> btop++ v.1.3.2
2024/05/25 (19:09:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (19:20:31) | ===> btop++ v.1.3.2
2024/05/25 (19:20:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (22:16:32) | ===> btop++ v.1.3.2
2024/05/25 (22:16:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (22:43:57) | ===> btop++ v.1.3.2
2024/05/25 (22:43:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (00:11:07) | ===> btop++ v.1.3.2
2024/05/26 (00:11:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (00:11:13) | ===> btop++ v.1.3.2
2024/05/26 (00:11:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (01:50:21) | ===> btop++ v.1.3.2
2024/05/26 (01:50:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (01:52:49) | ===> btop++ v.1.3.2
2024/05/26 (01:52:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (01:54:39) | ===> btop++ v.1.3.2
2024/05/26 (01:54:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/27 (23:52:22) | ===> btop++ v.1.3.2
2024/05/27 (23:52:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/27 (23:54:16) | ===> btop++ v.1.3.2
2024/05/27 (23:54:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (16:35:09) | ===> btop++ v.1.3.2
2024/05/28 (16:35:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/28 (23:11:24) | ===> btop++ v.1.3.2
2024/05/28 (23:11:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (01:13:05) | ===> btop++ v.1.3.2
2024/05/29 (01:13:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (12:04:46) | ===> btop++ v.1.3.2
2024/05/29 (12:04:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (23:38:14) | ===> btop++ v.1.3.2
2024/05/29 (23:38:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/04 (20:25:35) | ===> btop++ v.1.3.2
2024/06/04 (20:25:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/04 (20:27:55) | ===> btop++ v.1.3.2
2024/06/04 (20:27:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (00:50:50) | ===> btop++ v.1.3.2
2024/06/05 (00:50:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (00:50:54) | ===> btop++ v.1.3.2
2024/06/05 (00:50:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (14:46:58) | ===> btop++ v.1.3.2
2024/06/05 (14:46:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/05 (14:52:39) | ===> btop++ v.1.3.2
2024/06/05 (14:52:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/08 (14:29:14) | ===> btop++ v.1.3.2
2024/06/08 (14:29:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/08 (14:32:04) | ===> btop++ v.1.3.2
2024/06/08 (14:32:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/08 (14:32:19) | ===> btop++ v.1.3.2
2024/06/08 (14:32:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (00:12:10) | ===> btop++ v.1.3.2
2024/06/11 (00:12:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (14:36:11) | ===> btop++ v.1.3.2
2024/06/11 (14:36:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (14:45:31) | ===> btop++ v.1.3.2
2024/06/11 (14:45:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (14:46:07) | ===> btop++ v.1.3.2
2024/06/11 (14:46:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (14:47:42) | ===> btop++ v.1.3.2
2024/06/11 (14:47:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (14:47:51) | ===> btop++ v.1.3.2
2024/06/11 (14:47:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (14:49:15) | ===> btop++ v.1.3.2
2024/06/11 (14:49:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (14:53:36) | ===> btop++ v.1.3.2
2024/06/11 (14:53:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (14:56:01) | ===> btop++ v.1.3.2
2024/06/11 (14:56:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (14:56:16) | ===> btop++ v.1.3.2
2024/06/11 (14:56:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (15:04:51) | ===> btop++ v.1.3.2
2024/06/11 (15:04:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (15:06:00) | ===> btop++ v.1.3.2
2024/06/11 (15:06:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (15:06:51) | ===> btop++ v.1.3.2
2024/06/11 (15:06:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (15:13:02) | ===> btop++ v.1.3.2
2024/06/11 (15:13:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (16:18:16) | ===> btop++ v.1.3.2
2024/06/11 (16:18:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (16:23:17) | ===> btop++ v.1.3.2
2024/06/11 (16:23:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (22:12:27) | ===> btop++ v.1.3.2
2024/06/11 (22:12:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/12 (12:52:56) | ===> btop++ v.1.3.2
2024/06/12 (12:52:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/12 (22:44:46) | ===> btop++ v.1.3.2
2024/06/12 (22:44:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/12 (22:44:53) | ===> btop++ v.1.3.2
2024/06/12 (22:44:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/14 (15:23:08) | ===> btop++ v.1.3.2
2024/06/14 (15:23:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/14 (17:44:15) | ===> btop++ v.1.3.2
2024/06/14 (17:44:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/15 (10:58:01) | ===> btop++ v.1.3.2
2024/06/15 (10:58:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (12:42:29) | ===> btop++ v.1.3.2
2024/06/16 (12:42:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/16 (13:40:49) | ===> btop++ v.1.3.2
2024/06/16 (13:40:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/17 (12:25:04) | ===> btop++ v.1.3.2
2024/06/17 (12:25:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/17 (13:00:23) | ===> btop++ v.1.3.2
2024/06/17 (13:00:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/17 (16:55:37) | ===> btop++ v.1.3.2
